accession_id,virus_name,collection_date
EPI_ISL_753393,hCoV-19/USA/CA-CHLA-PLM41214732/2020,2020-11-20
EPI_ISL_1163785,hCoV-19/USA/NC-UNC-LCCC0338/2021,2021-01-25
EPI_ISL_753557,hCoV-19/USA/CA-CHLA-PLM19042682/2020,2020-11-30
EPI_ISL_1163752,hCoV-19/USA/NC-UNC-LCCC0304/2021,2021-01-18
EPI_ISL_1163786,hCoV-19/USA/NC-UNC-LCCC0339/2021,2021-01-25
EPI_ISL_1163783,hCoV-19/USA/NC-UNC-LCCC0336/2021,2021-01-24
EPI_ISL_930776,hCoV-19/USA/UT-UPHL-2102342783/2020,2020-12-31
EPI_ISL_931509,hCoV-19/USA/UT-UPHL-2102921286/2020,2020-12-29
EPI_ISL_789707,hCoV-19/USA/TX-HMH-MCoV-11115/2020,2020-09-01
EPI_ISL_824652,hCoV-19/USA/CA-CSMC244/2020,2020-12-19
EPI_ISL_753340,hCoV-19/USA/CA-CHLA-PLM90269345/2020,2020-11-15
EPI_ISL_753274,hCoV-19/USA/CA-CHLA-PLM75672420/2020,2020-11-04
EPI_ISL_824694,hCoV-19/USA/CA-CSMC288/2020,2020-11-22
EPI_ISL_747116,hCoV-19/USA/MI-CDC-2-3693684/2020,2020-10-16
EPI_ISL_753528,hCoV-19/USA/CA-CHLA-PLM75223157/2020,2020-11-28
EPI_ISL_753629,hCoV-19/USA/CA-CHLA-PLM33162258/2020,2020-12-03
EPI_ISL_753533,hCoV-19/USA/CA-CHLA-PLM61546012/2020,2020-11-29
EPI_ISL_753627,hCoV-19/USA/CA-CHLA-PLM45771852/2020,2020-11-30
EPI_ISL_753493,hCoV-19/USA/CA-CHLA-PLM92698286/2020,2020-11-30
EPI_ISL_648014,hCoV-19/USA/MS-CDC-6562/2020,2020-09-03
EPI_ISL_824693,hCoV-19/USA/CA-CSMC287/2020,2020-12-21
EPI_ISL_785036,hCoV-19/USA/TX-HMH-MCoV-18688/2020,2020-11-20
EPI_ISL_1009605,hCoV-19/USA/NY-UB-00714/2021,2021-01-25
EPI_ISL_746237,hCoV-19/USA/UT-UPHL-2012555879/2020,2020-10-07
EPI_ISL_746257,hCoV-19/USA/UT-UPHL-2012118383/2020,2020-10-21
EPI_ISL_876415,hCoV-19/USA/AL-Madison-JEKN/2020,2020-11-06
EPI_ISL_660933,hCoV-19/USA/WI-GMF-25643/2020,2020-10-13
EPI_ISL_1086398,hCoV-19/USA/LA-CDC-21570599/2021,2021-01-27
EPI_ISL_1038784,hCoV-19/USA/NY-CDC-LC0013324/2021,2021-02-02
EPI_ISL_683946,hCoV-19/USA/NY-NYCPHL-001250/2020,2020-11-06
EPI_ISL_683947,hCoV-19/USA/NY-NYCPHL-001251/2020,2020-11-06
EPI_ISL_790215,hCoV-19/USA/TX-HMH-MCoV-12134/2020,2020-09-22
EPI_ISL_787706,hCoV-19/USA/TX-HMH-MCoV-14421/2020,2020-10-07
EPI_ISL_677608,hCoV-19/USA/WI-UW-2205/2020,2020-10-27
EPI_ISL_787988,hCoV-19/USA/TX-HMH-MCoV-14703/2020,2020-10-01
EPI_ISL_677428,hCoV-19/USA/WI-UW-2021/2020,2020-09-18
EPI_ISL_677496,hCoV-19/USA/WI-UW-2091/2020,2020-09-19
EPI_ISL_832606,hCoV-19/USA/OR-OHSU-3907/2020,2020-10-30
EPI_ISL_765806,hCoV-19/USA/MA-MGH-03368/2020,2020-11-09
EPI_ISL_1064397,hCoV-19/USA/MN-MDH-2849/2021,2021-02-05
EPI_ISL_1032546,hCoV-19/USA/TX-CDC-LC0008329/2021,2021-01-19
EPI_ISL_1098392,hCoV-19/USA/NY-PRL-2021_02_22_00M10/2021,2021-02-19
EPI_ISL_1168768,hCoV-19/USA/VA-SU-SC_69/2021,2021-02-26
EPI_ISL_1168766,hCoV-19/USA/VA-SU-SC_67/2021,2021-02-26
EPI_ISL_1110053,hCoV-19/USA/WA-UW-60949/2021,2021-02-03
EPI_ISL_1110052,hCoV-19/USA/WA-UW-60363/2021,2021-02-02
EPI_ISL_1098548,hCoV-19/USA/NY-PRL-2021_02_25_00G05/2021,2021-02-22
EPI_ISL_787585,hCoV-19/USA/TX-HMH-MCoV-14300/2020,2020-10-05
EPI_ISL_787816,hCoV-19/USA/TX-HMH-MCoV-14531/2020,2020-10-09
EPI_ISL_677594,hCoV-19/USA/WI-UW-2191/2020,2020-10-26
EPI_ISL_677454,hCoV-19/USA/WI-UW-2049/2020,2020-10-22
EPI_ISL_784974,hCoV-19/USA/TX-HMH-MCoV-18626/2020,2020-11-20
EPI_ISL_1077050,hCoV-19/USA/TX-HMH-MCoV-22522/2021,2021-01-11
EPI_ISL_784559,hCoV-19/USA/TX-HMH-MCoV-18211/2020,2020-11-14
EPI_ISL_1036256,hCoV-19/USA/OR-TRACE-DESC-010421-007/2021,2021-01-04
EPI_ISL_1074668,hCoV-19/USA/TX-HMH-MCoV-20227/2021,2021-01-01
EPI_ISL_1074643,hCoV-19/USA/TX-HMH-MCoV-20202/2021,2021-01-03
EPI_ISL_1080330,hCoV-19/USA/TX-HMH-MCoV-25837/2021,2021-02-03
EPI_ISL_784625,hCoV-19/USA/TX-HMH-MCoV-18277/2020,2020-11-16
EPI_ISL_784468,hCoV-19/USA/TX-HMH-MCoV-18120/2020,2020-11-15
EPI_ISL_787056,hCoV-19/USA/TX-HMH-MCoV-15572/2020,2020-10-26
EPI_ISL_753512,hCoV-19/USA/CA-CHLA-PLM57076996/2020,2020-11-30
EPI_ISL_1076204,hCoV-19/USA/TX-HMH-MCoV-21757/2021,2021-01-09
EPI_ISL_789733,hCoV-19/USA/TX-HMH-MCoV-11197/2020,2020-09-02
EPI_ISL_1080892,hCoV-19/USA/TX-HMH-MCoV-25523/2021,2021-01-22
EPI_ISL_1079464,hCoV-19/USA/TX-HMH-MCoV-24850/2021,2021-01-19
EPI_ISL_786739,hCoV-19/USA/TX-HMH-MCoV-15255/2020,2020-10-19
EPI_ISL_786970,hCoV-19/USA/TX-HMH-MCoV-15486/2020,2020-10-23
EPI_ISL_942127,hCoV-19/USA/WI-WSLH-201811/2020,2020-12-02
EPI_ISL_1079791,hCoV-19/USA/TX-HMH-MCoV-25166/2021,2021-01-20
EPI_ISL_790290,hCoV-19/USA/TX-HMH-MCoV-12302/2020,2020-09-25
EPI_ISL_677507,hCoV-19/USA/WI-UW-2102/2020,2020-11-09
EPI_ISL_786691,hCoV-19/USA/TX-HMH-MCoV-15207/2020,2020-10-20
EPI_ISL_784672,hCoV-19/USA/TX-HMH-MCoV-18324/2020,2020-11-17
EPI_ISL_978134,hCoV-19/USA/CA-UCSF-UC960/2021,2021-01-07
EPI_ISL_677439,hCoV-19/USA/IL-UW-2033/2020,2020-09-19
EPI_ISL_786976,hCoV-19/USA/TX-HMH-MCoV-15492/2020,2020-10-23
EPI_ISL_787000,hCoV-19/USA/TX-HMH-MCoV-15516/2020,2020-10-24
EPI_ISL_978456,hCoV-19/USA/AZ-ASPHL-3524/2021,2021-01-18
EPI_ISL_791356,hCoV-19/USA/MD-HP12014/2020,2020-11-05
EPI_ISL_802317,hCoV-19/USA/NY-MSHSPSP-PV19619/2020,2020-09-30
EPI_ISL_887003,hCoV-19/USA/PA-CDC-LC0004491/2021,2021-01-04
EPI_ISL_966883,hCoV-19/USA/RI-CDC-STM-000005922/2021,2021-01-28
EPI_ISL_903907,hCoV-19/USA/NM-CDC-2-3768081/2021,2021-01-02
EPI_ISL_1064269,hCoV-19/USA/WI-UW-3470/2021,2021-01-29
EPI_ISL_1032915,hCoV-19/USA/IL-IDPH-COO-I-0001055/2021,2021-01-20
EPI_ISL_857181,hCoV-19/USA/NY-NYCPHL-002360/2021,2021-01-11
EPI_ISL_937156,hCoV-19/USA/NY-NYCPHL-002583/2021,2021-01-15
EPI_ISL_633084,hCoV-19/USA/MD-MDH-0302/2020,2020-10-22
EPI_ISL_1038832,hCoV-19/USA/MD-MDH-0970/2021,2021-02-10
EPI_ISL_787501,hCoV-19/USA/TX-HMH-MCoV-14216/2020,2020-10-04
EPI_ISL_1163764,hCoV-19/USA/NC-UNC-LCCC0317/2021,2021-01-17
EPI_ISL_1016989,hCoV-19/USA/SD-UMGC_91/2020,2020-10-30
EPI_ISL_1139253,hCoV-19/USA/NV-CDC-22126035/2021,2021-02-16
EPI_ISL_1086458,hCoV-19/USA/MO-CDC-21566948/2021,2021-01-29
EPI_ISL_833429,hCoV-19/USA/CA-LACPHL-AF00163/2021,2021-01-06
EPI_ISL_888571,hCoV-19/USA/IL-CDC-LC00001941/2020,2020-12-26
EPI_ISL_1029681,hCoV-19/USA/IL-CDC-LC0001941/2020,2020-12-26
EPI_ISL_1029682,hCoV-19/USA/IL-CDC-LC0001942/2020,2020-12-26
EPI_ISL_1017908,hCoV-19/USA/WY-WPHL-21000154/2021,2021-01-02
EPI_ISL_1087608,hCoV-19/USA/MO-CDC-21673758/2021,2021-02-01
EPI_ISL_1087576,hCoV-19/USA/MO-CDC-21673905/2021,2021-02-01
EPI_ISL_1088311,hCoV-19/USA/MO-CDC-21753809/2021,2021-02-03
EPI_ISL_1086290,hCoV-19/USA/MO-CDC-21404413/2021,2021-01-25
EPI_ISL_1086260,hCoV-19/USA/MO-CDC-21404253/2021,2021-01-25
EPI_ISL_1029747,hCoV-19/USA/MO-CDC-LC0002151/2020,2020-12-27
EPI_ISL_1015954,hCoV-19/USA/WA-S4611/2021,2021-01-25
EPI_ISL_1029815,hCoV-19/USA/WA-CDC-LC0002478/2020,2020-12-30
EPI_ISL_1162995,hCoV-19/USA/AZ-CDC-LC0013996/2021,2021-02-08
EPI_ISL_1091053,hCoV-19/USA/AZ-CDC-21802259/2021,2021-02-05
EPI_ISL_1163203,hCoV-19/USA/AR-CDC-LC0014677/2021,2021-02-09
EPI_ISL_1029361,hCoV-19/USA/GA-CDC-LC0000959/2020,2020-12-26
EPI_ISL_1029403,hCoV-19/USA/FL-CDC-LC0001063/2020,2020-12-26
EPI_ISL_888132,hCoV-19/USA/GA-CDC-LC00000959/2020,2020-12-26
EPI_ISL_1090801,hCoV-19/USA/LA-CDC-21759206/2021,2021-02-01
EPI_ISL_876835,hCoV-19/USA/MO-QDX-3565/2020,2020-11-07
EPI_ISL_982689,hCoV-19/USA/OH-USAFSAM-S0006/2021,2021-01-05
EPI_ISL_1058815,hCoV-19/USA/MI-MDHHS-SC23520/2021,2021-01-27
EPI_ISL_960199,hCoV-19/USA/VA-DCLS-2782/2020,2020-12-21
EPI_ISL_960200,hCoV-19/USA/VA-DCLS-2784/2020,2020-12-21
EPI_ISL_887539,hCoV-19/USA/MD-HP01312/2021,2021-01-15
EPI_ISL_1095094,hCoV-19/USA/MI-CDC-2-3877388/2021,2021-01-20
EPI_ISL_886213,hCoV-19/USA/GA-CDC-LC0003667/2021,2021-01-11
EPI_ISL_728395,hCoV-19/USA/MI-UM-10036804974/2020,2020-11-05
EPI_ISL_677508,hCoV-19/USA/WI-UW-2103/2020,2020-11-09
EPI_ISL_677502,hCoV-19/USA/WI-UW-2097/2020,2020-10-27
EPI_ISL_677504,hCoV-19/USA/WI-UW-2099/2020,2020-10-30
EPI_ISL_677505,hCoV-19/USA/WI-UW-2100/2020,2020-11-05
EPI_ISL_677332,hCoV-19/USA/WI-UW-1923/2020,2020-10-30
EPI_ISL_677324,hCoV-19/USA/WI-UW-1915/2020,2020-10-27
EPI_ISL_677323,hCoV-19/USA/WI-UW-1914/2020,2020-10-26
EPI_ISL_677325,hCoV-19/USA/WI-UW-1916/2020,2020-10-27
EPI_ISL_677330,hCoV-19/USA/WI-UW-1921/2020,2020-10-30
EPI_ISL_677331,hCoV-19/USA/WI-UW-1922/2020,2020-10-30
EPI_ISL_677500,hCoV-19/USA/WI-UW-2095/2020,2020-11-02
EPI_ISL_677498,hCoV-19/USA/WI-UW-2093/2020,2020-11-02
EPI_ISL_677499,hCoV-19/USA/WI-UW-2094/2020,2020-11-02
EPI_ISL_677506,hCoV-19/USA/WI-UW-2101/2020,2020-11-05
EPI_ISL_677503,hCoV-19/USA/WI-UW-2098/2020,2020-10-30
EPI_ISL_677321,hCoV-19/USA/WI-UW-1912/2020,2020-10-26
EPI_ISL_677333,hCoV-19/USA/WI-UW-1924/2020,2020-10-30
EPI_ISL_677595,hCoV-19/USA/WI-UW-2192/2020,2020-10-25
EPI_ISL_677327,hCoV-19/USA/WI-UW-1918/2020,2020-10-28
EPI_ISL_677501,hCoV-19/USA/WI-UW-2096/2020,2020-10-27
EPI_ISL_677320,hCoV-19/USA/WI-UW-1911/2020,2020-10-21
EPI_ISL_677328,hCoV-19/USA/WI-UW-1919/2020,2020-10-28
EPI_ISL_677326,hCoV-19/USA/WI-UW-1917/2020,2020-10-28
EPI_ISL_677334,hCoV-19/USA/WI-UW-1925/2020,2020-10-30
EPI_ISL_677329,hCoV-19/USA/WI-UW-1920/2020,2020-10-29
EPI_ISL_884371,hCoV-19/USA/MO-QDX-3409/2020,2020-10-24
EPI_ISL_1097975,hCoV-19/USA/NY-PRL-2021_02_19_00I23/2021,2021-02-16
EPI_ISL_1098188,hCoV-19/USA/NY-PRL-2021_02_19_01M08/2021,2021-02-17
EPI_ISL_1097916,hCoV-19/USA/NY-PRL-2021_02_19_00D03/2021,2021-02-16
EPI_ISL_1041892,hCoV-19/USA/NY-PRL-2021_02_17_00M14/2021,2021-02-14
EPI_ISL_1098260,hCoV-19/USA/NY-PRL-2021_02_22_00B10/2021,2021-02-19
EPI_ISL_1079863,hCoV-19/USA/TX-HMH-MCoV-25238/2021,2021-01-20
EPI_ISL_786723,hCoV-19/USA/TX-HMH-MCoV-15239/2020,2020-10-20
EPI_ISL_677481,hCoV-19/USA/IL-UW-2076/2020,2020-10-17
EPI_ISL_746143,hCoV-19/USA/UT-UPHL-2012450649/2020,2020-09-08
EPI_ISL_746129,hCoV-19/USA/UT-UPHL-2012095441/2020,2020-09-09
EPI_ISL_746969,hCoV-19/USA/UT-UPHL-2012392301/2020,2020-11-18
EPI_ISL_1068035,hCoV-19/USA/UT-UPHL-2102312568/2020,2020-12-18
EPI_ISL_1068044,hCoV-19/USA/UT-UPHL-2102301044/2020,2020-12-18
EPI_ISL_937329,hCoV-19/USA/UT-UPHL-2101512291/2020,2020-12-11
EPI_ISL_746137,hCoV-19/USA/UT-UPHL-2012536667/2020,2020-09-09
EPI_ISL_787663,hCoV-19/USA/TX-HMH-MCoV-14378/2020,2020-10-06
EPI_ISL_753292,hCoV-19/USA/CA-CHLA-PLM29698897/2020,2020-11-09
EPI_ISL_753671,hCoV-19/USA/CA-CHLA-PLM92060823/2020,2020-12-14
EPI_ISL_753608,hCoV-19/USA/CA-CHLA-PLM49922269/2020,2020-12-04
EPI_ISL_753662,hCoV-19/USA/CA-CHLA-PLM01267648/2020,2020-12-07
EPI_ISL_753683,hCoV-19/USA/CA-CHLA-PLM83556703/2020,2020-12-17
EPI_ISL_753684,hCoV-19/USA/CA-CHLA-PLM69425240/2020,2020-12-17
EPI_ISL_753679,hCoV-19/USA/CA-CHLA-PLM96511438/2020,2020-12-17
EPI_ISL_753678,hCoV-19/USA/CA-CHLA-PLM77362941/2020,2020-12-17
EPI_ISL_753677,hCoV-19/USA/CA-CHLA-PLM56652692/2020,2020-12-17
EPI_ISL_753682,hCoV-19/USA/CA-CHLA-PLM15505276/2020,2020-12-17
EPI_ISL_753688,hCoV-19/USA/CA-CHLA-PLM71552294/2020,2020-12-17
EPI_ISL_753685,hCoV-19/USA/CA-CHLA-PLM57172426/2020,2020-12-17
EPI_ISL_753686,hCoV-19/USA/CA-CHLA-PLM50798548/2020,2020-12-17
EPI_ISL_785871,hCoV-19/USA/TX-HMH-MCoV-16187/2020,2020-10-30
EPI_ISL_965107,hCoV-19/USA/WY-WPHL-21011258/2021,2021-01-15
EPI_ISL_965104,hCoV-19/USA/WY-WPHL-21011248/2021,2021-01-15
EPI_ISL_965106,hCoV-19/USA/WY-WPHL-21011256/2021,2021-01-15
EPI_ISL_965103,hCoV-19/USA/WY-WPHL-21011242/2021,2021-01-15
EPI_ISL_942398,hCoV-19/USA/VA-DCLS-2500/2020,2020-11-10
EPI_ISL_1163057,hCoV-19/USA/VA-CDC-LC0014663/2021,2021-02-09
EPI_ISL_1134578,hCoV-19/USA/NC-CDC-STM-000013179/2021,2021-02-11
EPI_ISL_783853,hCoV-19/USA/TX-HMH-MCoV-19460/2020,2020-11-29
EPI_ISL_925195,hCoV-19/USA/VA-DCLS-2358/2020,2020-11-19
EPI_ISL_942400,hCoV-19/USA/VA-DCLS-2502/2020,2020-11-10
EPI_ISL_942392,hCoV-19/USA/VA-DCLS-2494/2020,2020-11-10
EPI_ISL_967468,hCoV-19/USA/VA-CDC-STM-000004105/2021,2021-01-19
EPI_ISL_925196,hCoV-19/USA/VA-DCLS-2359/2020,2020-11-19
EPI_ISL_925197,hCoV-19/USA/VA-DCLS-2360/2020,2020-11-19
EPI_ISL_925190,hCoV-19/USA/VA-DCLS-2352/2020,2020-11-16
EPI_ISL_1136453,hCoV-19/USA/NV-NSPHL-341668/2021,2021-02-07
EPI_ISL_1088433,hCoV-19/USA/NV-CDC-21612090/2021,2021-01-31
EPI_ISL_677387,hCoV-19/USA/WI-UW-1979/2020,2020-09-21
EPI_ISL_677620,hCoV-19/USA/WI-UW-2217/2020,2020-09-26
EPI_ISL_783917,hCoV-19/USA/TX-HMH-MCoV-19542/2020,2020-11-30
EPI_ISL_787730,hCoV-19/USA/TX-HMH-MCoV-14445/2020,2020-10-07
EPI_ISL_755362,hCoV-19/USA/ME-HETL-J0184/2020,2020-09-16
EPI_ISL_755430,hCoV-19/USA/ME-HETL-J0287/2020,2020-10-05
EPI_ISL_755375,hCoV-19/USA/ME-HETL-J0212/2020,2020-09-22
EPI_ISL_755373,hCoV-19/USA/ME-HETL-J0206/2020,2020-09-21
EPI_ISL_755335,hCoV-19/USA/ME-HETL-J0141/2020,2020-09-09
EPI_ISL_755332,hCoV-19/USA/ME-HETL-J0137/2020,2020-09-08
EPI_ISL_755346,hCoV-19/USA/ME-HETL-J0163/2020,2020-09-14
EPI_ISL_755419,hCoV-19/USA/ME-HETL-J0273/2020,2020-10-01
EPI_ISL_755345,hCoV-19/USA/ME-HETL-J0162/2020,2020-09-14
EPI_ISL_755365,hCoV-19/USA/ME-HETL-J0187/2020,2020-09-16
EPI_ISL_755376,hCoV-19/USA/ME-HETL-J0213/2020,2020-09-22
EPI_ISL_755357,hCoV-19/USA/ME-HETL-J0176/2020,2020-09-15
EPI_ISL_1080929,hCoV-19/USA/TX-HMH-MCoV-25560/2021,2021-01-22
EPI_ISL_784641,hCoV-19/USA/TX-HMH-MCoV-18293/2020,2020-11-17
EPI_ISL_786599,hCoV-19/USA/TX-HMH-MCoV-15115/2020,2020-10-17
EPI_ISL_786526,hCoV-19/USA/TX-HMH-MCoV-15042/2020,2020-10-15
EPI_ISL_1039623,hCoV-19/USA/LA-EVTL1970/2020,2020-11-24
EPI_ISL_786460,hCoV-19/USA/TX-HMH-MCoV-14976/2020,2020-10-16
EPI_ISL_786495,hCoV-19/USA/TX-HMH-MCoV-15011/2020,2020-10-16
EPI_ISL_785892,hCoV-19/USA/TX-HMH-MCoV-16208/2020,2020-10-26
EPI_ISL_785821,hCoV-19/USA/TX-HMH-MCoV-16137/2020,2020-10-25
EPI_ISL_1080163,hCoV-19/USA/TX-HMH-MCoV-25670/2021,2021-02-01
EPI_ISL_1080129,hCoV-19/USA/TX-HMH-MCoV-25636/2021,2021-02-02
EPI_ISL_784919,hCoV-19/USA/TX-HMH-MCoV-18571/2020,2020-11-19
EPI_ISL_1113313,hCoV-19/USA/AZ-TG723958/2020,2020-12-21
EPI_ISL_825001,hCoV-19/USA/AZ-ASPHL-AZ00127407/2020,2020-12-21
EPI_ISL_787615,hCoV-19/USA/TX-HMH-MCoV-14330/2020,2020-10-06
EPI_ISL_1074472,hCoV-19/USA/TX-HMH-MCoV-20033/2021,2021-01-03
EPI_ISL_784786,hCoV-19/USA/TX-HMH-MCoV-18438/2020,2020-11-20
EPI_ISL_787992,hCoV-19/USA/TX-HMH-MCoV-14707/2020,2020-10-07
EPI_ISL_787887,hCoV-19/USA/TX-HMH-MCoV-14602/2020,2020-10-10
EPI_ISL_787595,hCoV-19/USA/TX-HMH-MCoV-14310/2020,2020-10-05
EPI_ISL_1076922,hCoV-19/USA/TX-HMH-MCoV-22394/2021,2021-01-12
EPI_ISL_1023710,hCoV-19/USA/WY-WPHL-20172413/2020,2020-12-30
EPI_ISL_784691,hCoV-19/USA/TX-HMH-MCoV-18343/2020,2020-11-18
EPI_ISL_787798,hCoV-19/USA/TX-HMH-MCoV-14513/2020,2020-10-08
EPI_ISL_787966,hCoV-19/USA/TX-HMH-MCoV-14681/2020,2020-10-01
EPI_ISL_903682,hCoV-19/USA/IL-CDC-2-3769362/2020,2020-12-30
EPI_ISL_786554,hCoV-19/USA/TX-HMH-MCoV-15070/2020,2020-10-17
EPI_ISL_787731,hCoV-19/USA/TX-HMH-MCoV-14446/2020,2020-10-07
EPI_ISL_1080202,hCoV-19/USA/TX-HMH-MCoV-25709/2021,2021-02-02
EPI_ISL_784896,hCoV-19/USA/TX-HMH-MCoV-18548/2020,2020-11-19
EPI_ISL_787793,hCoV-19/USA/TX-HMH-MCoV-14508/2020,2020-10-09
EPI_ISL_786332,hCoV-19/USA/TX-HMH-MCoV-14848/2020,2020-10-12
EPI_ISL_1078781,hCoV-19/USA/TX-HMH-MCoV-24227/2021,2021-01-16
EPI_ISL_1163004,hCoV-19/USA/CT-CDC-LC0015522/2021,2021-02-10
EPI_ISL_1074310,hCoV-19/USA/TX-HMH-MCoV-19871/2021,2021-01-02
EPI_ISL_1080024,hCoV-19/USA/TX-HMH-MCoV-25387/2021,2021-01-21
EPI_ISL_1113138,hCoV-19/USA/MT-RML-34/2021,2021-01-20
EPI_ISL_786492,hCoV-19/USA/TX-HMH-MCoV-15008/2020,2020-10-16
EPI_ISL_787963,hCoV-19/USA/TX-HMH-MCoV-14678/2020,2020-10-11
EPI_ISL_787818,hCoV-19/USA/TX-HMH-MCoV-14533/2020,2020-10-09
EPI_ISL_783965,hCoV-19/USA/TX-HMH-MCoV-19594/2020,2020-11-23
EPI_ISL_786562,hCoV-19/USA/TX-HMH-MCoV-15078/2020,2020-10-16
EPI_ISL_790188,hCoV-19/USA/TX-HMH-MCoV-12066/2020,2020-09-18
EPI_ISL_786604,hCoV-19/USA/TX-HMH-MCoV-15120/2020,2020-10-18
EPI_ISL_807054,hCoV-19/USA/WA-S3124/2020,2020-11-15
EPI_ISL_807014,hCoV-19/USA/WA-S3084/2020,2020-11-14
EPI_ISL_903113,hCoV-19/USA/WA-S3827/2021,2021-01-01
EPI_ISL_807121,hCoV-19/USA/WA-S3191/2020,2020-11-20
EPI_ISL_1137052,hCoV-19/USA/KS-KHEL-0347/2020,2020-12-31
EPI_ISL_1086597,hCoV-19/USA/MO-CDC-21605761/2021,2021-02-01
EPI_ISL_1087482,hCoV-19/USA/MO-CDC-21673249/2021,2021-02-02
EPI_ISL_786249,hCoV-19/USA/TX-HMH-MCoV-14764/2020,2020-10-01
EPI_ISL_786227,hCoV-19/USA/TX-HMH-MCoV-14742/2020,2020-10-01
EPI_ISL_787450,hCoV-19/USA/TX-HMH-MCoV-14165/2020,2020-10-01
EPI_ISL_787539,hCoV-19/USA/TX-HMH-MCoV-14254/2020,2020-10-05
EPI_ISL_786448,hCoV-19/USA/TX-HMH-MCoV-14964/2020,2020-10-15
EPI_ISL_787476,hCoV-19/USA/TX-HMH-MCoV-14191/2020,2020-10-02
EPI_ISL_786487,hCoV-19/USA/TX-HMH-MCoV-15003/2020,2020-10-15
EPI_ISL_784048,hCoV-19/USA/TX-HMH-MCoV-19694/2020,2020-11-24
EPI_ISL_633045,hCoV-19/USA/NY-NYCPHL-001029/2020,2020-09-29
EPI_ISL_787971,hCoV-19/USA/TX-HMH-MCoV-14686/2020,2020-10-12
EPI_ISL_786797,hCoV-19/USA/TX-HMH-MCoV-15313/2020,2020-10-21
EPI_ISL_786605,hCoV-19/USA/TX-HMH-MCoV-15121/2020,2020-10-19
EPI_ISL_789770,hCoV-19/USA/TX-HMH-MCoV-11340/2020,2020-09-04
EPI_ISL_786980,hCoV-19/USA/TX-HMH-MCoV-15496/2020,2020-10-22
EPI_ISL_1075040,hCoV-19/USA/TX-HMH-MCoV-20598/2021,2021-01-02
EPI_ISL_790159,hCoV-19/USA/TX-HMH-MCoV-11990/2020,2020-09-17
EPI_ISL_787611,hCoV-19/USA/TX-HMH-MCoV-14326/2020,2020-10-06
EPI_ISL_787957,hCoV-19/USA/TX-HMH-MCoV-14672/2020,2020-10-10
EPI_ISL_783979,hCoV-19/USA/TX-HMH-MCoV-19610/2020,2020-11-18
EPI_ISL_785095,hCoV-19/USA/TX-HMH-MCoV-18758/2020,2020-11-23
EPI_ISL_786560,hCoV-19/USA/TX-HMH-MCoV-15076/2020,2020-10-14
EPI_ISL_786583,hCoV-19/USA/TX-HMH-MCoV-15099/2020,2020-10-14
EPI_ISL_784156,hCoV-19/USA/TX-HMH-MCoV-19828/2020,2020-11-26
EPI_ISL_783804,hCoV-19/USA/TX-HMH-MCoV-19377/2020,2020-11-27
EPI_ISL_786175,hCoV-19/USA/TX-HMH-MCoV-18027/2020,2020-11-16
EPI_ISL_785798,hCoV-19/USA/TX-HMH-MCoV-16114/2020,2020-10-29
EPI_ISL_786173,hCoV-19/USA/TX-HMH-MCoV-18025/2020,2020-11-16
EPI_ISL_786059,hCoV-19/USA/TX-HMH-MCoV-16375/2020,2020-11-01
